Date;Date;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
BANQUE CANTON GENEVE ;BANQUE CANTON GENEVE - BOOK VALUE-OUT SHARES-FISCAL;0.0015038556469388913;0.0005125282709223652;0.001170159049704989;0.001150877889732221;0.0003458313547587833;0.0005436013438677499;0.000388107342733809;0.00034825496640998463;0.0004824713461880502;0.0004119737901474304;0.0023026372232308944;0.0008461639286001972;0.0007505702579454661;0.00026891780440647527;0.0001669265423752264;0.0002372489627909851;0.00018512841581553343;0.00012402480426891362;0.00014680708369977987;0.00011281526592490811;2.667330487353168e-05;2.6813018971586084e-05;
BANQUE CANTONALE ;BANQUE CANTONALE - BOOK VALUE-OUT SHARES-FISCAL;0.0003385628359424557;0.00012312125175396662;0.00030327541845033687;0.0003004842740371898;9.001644269917262e-05;0.00013978789759533323;9.703047961013132e-05;8.596968161661443e-05;0.0001209531238258652;0.0001045023538498521;0.0006058381890690749;0.0002238164710933457;0.00019856926265837707;7.031986177887744e-05;4.328207708804643e-05;6.169034704921143e-05;5.495862303044318e-05;3.589542153949544e-05;4.116522618626358e-05;3.070674216568616e-05;7.016468191326082e-06;6.7768916990641584e-06;
BANQUE CANTONALE 1 ;BANQUE CANTONALE 1 - BOOK VALUE-OUT SHARES-FISCAL.1;0.0004987133609372602;0.00018347117180538396;0.0004423859075706692;0.000425190313417801;0.00012542617646752605;0.00019125872059221212;0.00013248588619742957;0.0001150056380152168;0.00015253255389774216;0.00012707402798332914;0.0007159808783178171;0.0002582771618452431;0.0002245777892392101;0.00012819009123617785;7.723661340869683e-05;6.632054351852892e-05;5.0666792128112695e-05;3.323500733712631e-05;3.861269674842331e-05;2.9007004682671523e-05;6.578288405705342e-06;6.487409807496053e-06;
BARRY CALLEBAUT ;BARRY CALLEBAUT - BOOK VALUE-OUT SHARES-FISCAL;0.0020809377881609538;0.0007995350657915792;0.0017937194490274622;0.0018577705864524588;0.000564176532815089;0.0008878922368245252;0.0007094433730004389;0.0006257718791013745;0.0009189771222434218;0.0007925180068984916;0.004487656009073991;0.0014733959719631267;0.001387633874901861;0.0005769496851476673;0.0003461697602039256;0.0004661059645161185;0.0003833888895170621;0.00027196872188696094;0.0003196701780829592;0.0002478436790229815;5.461768695581587e-05;5.904031425513429e-05;
BASELLAND KANTONALBK ;BASELLAND KANTONALBK - BOOK VALUE-OUT SHARES-FISCAL;0.01942510539104744;0.007317378567002212;0.017226966320517265;0.01655661335960824;0.0049048048837372045;0.005686378432650506;0.003975793657433695;0.003476043126548205;0.00505322432827741;0.0033599758715777725;0.019634020122008478;0.007420129400799483;0.006655028815181016;0.0023412491590078534;0.0014672128415259829;0.00214390050069274;0.0017048970843693669;0.0011517056838152228;0.0013733410621157992;0.0010665886655400517;0.00027559653113900135;0.00027409448162180234;
BASILEA PHARMACEUTIC ;BASILEA PHARMACEUTIC - BOOK VALUE-OUT SHARES-FISCAL;;;0.00034425487271108813;0.00022210949624085528;0.00010540148949894462;0.0001236460953848616;5.25636423455064e-05;0.0001072696144154634;8.402923466645084e-05;3.321875172430432e-05;0.0003902696516593277;9.987166656372808e-05;5.813484186379985e-05;1.2476567917253334e-05;5.802437920031284e-06;1.9802550996303426e-06;-3.474901608515208e-06;-2.606399110622233e-06;-4.787246204665077e-06;-4.881935753478785e-06;-1.1933028384509148e-06;-5.969357839043965e-07;
BASLER KANTONALBANK ;BASLER KANTONALBANK - BOOK VALUE-OUT SHARES-FISCAL;0.0019269661845425774;0.0006443156275330145;0.00029631508903318416;0.0006671857534448989;0.0002124138620644999;0.00035199207175145566;0.0002618489272309008;0.00023475270984963734;0.0003204863088852965;0.00027738456139139;0.0015856773778948677;0.0005682797143224352;0.0005158648340413246;0.00017725956373284806;0.00011318673078837222;4.735185994236075e-05;3.7860003067381635e-05;2.646671122063904e-05;3.266450862657793e-05;2.45070006206158e-05;5.609921246067857e-06;5.4782035630167465e-06;
BB BIOTECH AG ;BB BIOTECH AG - BOOK VALUE-OUT SHARES-FISCAL;0.0005057819175903992;0.00014877778812445302;0.0001884231188371225;0.000193949648998155;5.962494373740348e-05;9.891578083437651e-05;7.553495613032944e-05;5.412781893989538e-05;7.423844337647088e-05;6.020959855847369e-05;0.00028843928236520135;9.504954344238227e-05;0.00011479042566490761;6.679129874528465e-05;6.557559861102899e-05;0.00010286957182283353;5.8205943810720755e-05;4.367359475104804e-05;4.016396199456921e-05;3.46539354684525e-05;8.936173481809524e-06;7.162746937033478e-06;
BELIMO HOLDINGS AG ;BELIMO HOLDINGS AG - BOOK VALUE-OUT SHARES-FISCAL;9.536890166340446e-05;4.0596298686920014e-05;0.0001028536252333495;0.0001099247173500794;3.618176989244329e-05;5.9287026510398765e-05;4.5155539406968125e-05;3.418823332794246e-05;4.934462150754197e-05;4.678261365666522e-05;0.0003096561675598524;0.0001181670015668652;0.00011315267566692705;4.225476679057113e-05;2.731848784146164e-05;3.9489887150446544e-05;3.222523057955453e-05;2.3002224260113634e-05;2.7587991180090524e-05;2.333857255722525e-05;5.05546115190797e-06;5.014429449233679e-06;
BELL FOOD GROUP AG ;BELL FOOD GROUP AG - BOOK VALUE-OUT SHARES-FISCAL;0.0009571666818066416;0.0003970477894263962;0.0010399995167581942;0.0011225621761763692;0.00034166681374325997;0.000532515151918651;0.0003798939319991975;0.00034631639558660037;0.00048123088394316576;0.0004175564176078182;0.002272360443267722;0.0008588875876651989;0.0007833463901631156;0.000288236013625504;0.0001827376031332233;0.00025843985263532027;0.000207565523791924;0.00011731872806823606;0.00015841110314173553;0.00011606536316273635;2.7628582555814488e-05;2.7166307496753995e-05;
