Date;Date;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
BASLER KANTONALBANK ;BASLER KANTONALBANK - DIVIDENDS PER SHARE - GROSS;0.0011238823497610774;0.0014084370956317638;0.0007938426141138464;0.001313073961702687;0.001262148474234874;0.0010610607763096136;0.0008357299029666445;0.0008776761325052636;0.0009588199218544085;0.0011586426018269274;0.001151802437455408;0.001028350772265737;0.0010610693587610642;0.0009416408680077897;0.0008761210826048902;0.0008644990910561779;0.000769447709751246;0.0007163332058568327;0.0005115990225488093;0.0006124675071169712;0.0008417549559001863;0.0007683044190639625;
BB BIOTECH AG ;BB BIOTECH AG - DIVIDENDS PER SHARE - GROSS;0.0;0.0;0.0;0.0003387703719563176;0.0002833635489395414;0.00017068001763693514;0.00014304320119240812;5.29606784615982e-05;0.00011571410387783676;0.0002612417810334937;0.00022460498475669139;0.0;0.00029096965962369223;0.0004276020808338973;0.000659293192229434;0.0008131843542208614;0.0006863383723048739;0.0007625482513959832;0.0005033474254109253;0.0006717385561928072;0.0009775218842711841;0.000954184520450405;
BELIMO HOLDINGS AG ;BELIMO HOLDINGS AG - DIVIDENDS PER SHARE - GROSS;0.0004805483056167087;0.0006317527869588386;0.00030880807084304187;0.0005759096323257399;0.0005903407269573779;0.0007111667401538965;0.0005364120044715305;0.0006620084807699776;0.0006428561326546487;0.000706058867658091;0.0009650995438764083;0.0007833263042852962;0.0009698988654123073;0.0009926476876501189;0.0009235788253214054;0.0009113272935233792;0.000935915962233919;0.000982069717706948;0.0008251597137884022;0.0014817762268958983;0.002036503925564967;0.0021066411490463484;
BELL FOOD GROUP AG ;BELL FOOD GROUP AG - DIVIDENDS PER SHARE - GROSS;0.0004198790820325992;0.0012397219395851092;0.0008712505038718356;0.0017765118305389294;0.001547873386082245;0.0012431194617890109;0.0010313414805972626;0.0010286140661208184;0.0011237125198803259;0.001234190900666343;0.0015336309115417833;0.0016431052558688374;0.001695383216740713;0.001601675222780684;0.0016144157866618168;0.0017155385790080105;0.0015269156951858978;0.0016156779920487013;0.0009076756851672424;0.0010866358997236587;0.0017649700688229712;0.0017348809462734635;
BELLEVUE GROUP AG ;BELLEVUE GROUP AG - DIVIDENDS PER SHARE - GROSS;0.0;0.0;0.0001939314684894303;0.00038281052031063884;0.0027816855054231646;0.0008936995367933966;0.0016850489100465676;0.0016635537556770903;0.0012117838100540127;0.0013309209655355016;0.0013230637383323852;0.0009832311771389038;0.000609419787100733;0.0002877151143896652;0.0002676957702931581;0.0002641447109227764;0.0002495775899290451;0.0002541827504653277;0.0001815351370334485;0.0007902806543444791;0.0010861354269679822;0.0006691683649911931;
BERGBAHNEN TITLIS AG ;BERGBAHNEN TITLIS AG - DIVIDENDS PER SHARE - GROSS;0.00018200767075232842;0.00022520128758650364;0.0001247584606205889;0.0002466248307841992;0.0002680146900386496;0.0001777916850384741;0.00017880400149051015;0.0001838912446583271;0.00020089254145457772;0.0002647720753717841;0.0002632089665117477;0.0002939040293678431;0.00033623160667626656;0.0003054300577384981;0.00034101372011867274;0.0004486534368115098;0.00039932414388647213;0.00038820638252886415;0.0003102600523844392;0.00037143190754190515;0.0;0.0;
BERNER KANTO ;BERNER KANTO - DIVIDENDS PER SHARE - GROSS;0.0013509414241649725;0.0018105291635667421;0.0011166499841684396;0.0019011793274188544;0.0017113977674494388;0.0016219342787109864;0.0013281561230715094;0.0011789635477534666;0.0014142834918402273;0.0016945412823794184;0.0017898209722798843;0.001660651765084828;0.002499106076545712;0.0016798653175617395;0.001648232980573585;0.0016824503880431617;0.0015473810575600795;0.0015250965027919664;0.0013202555420614435;0.001659589374123406;0.002389497939329561;0.0022801292436736946;
BFW LIEGENSCHAFTEN ;BFW LIEGENSCHAFTEN - DIVIDENDS PER SHARE - GROSS;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0003084809087517683;0.00035187017588495504;0.00017684489312684405;0.0003665160692861977;0.0003694315301285622;0.0003785513373097114;0.00033692974640421087;0.00032350531877405346;0.0002310447198607526;0.0;;;
BIOXELL S.P.A. ;BIOXELL S.P.A. - DIVIDENDS PER SHARE - GROSS;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;
BKW AG ;BKW AG - DIVIDENDS PER SHARE - GROSS;0.00015017134550522146;0.000427362179413332;0.0002758685432864508;0.0010163111158689529;0.0010626133085232803;0.0011852779002564941;0.0009655416080487549;0.0007944101769239731;0.0007392845525528459;0.0008825735845726137;0.0008773632217058257;0.0003133305217141185;0.0003879595461649229;0.0003665160692861977;0.0004546849601582304;0.0004486534368115098;0.00039932414388647213;0.00041593540985235446;0.0002970574969638248;0.00043465435988946353;0.0006516812561807893;0.0006443843514730008;
BLACK ;BLACK - DIVIDENDS PER SHARE - GROSS;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;
BOBST GROUP SA ;BOBST GROUP SA - DIVIDENDS PER SHARE - GROSS;0.0007508567275261073;0.0016722867890086905;0.0006793777558546921;0.0006775407439126352;0.0007379259086967224;0.0006637556241436367;0.0006794552056639385;0.0010297909700866317;0.0;0.0;0.0;0.0;0.0;0.00022907254330387357;0.00035522262512361746;0.000350510497508992;0.0004242819028793766;0.0006007955920089565;0.00024754791413652064;0.00029635524537917964;0.0;0.001982721081455387;
BONDPARTNERS SA ;BONDPARTNERS SA - DIVIDENDS PER SHARE - GROSS;0.025228786044877206;0.029729542915710054;0.01646976377829557;0.02845671124433068;0.023613629078295117;0.019438557564206503;0.015019536125202852;0.011769039658132934;0.0;0.01412117735316182;0.008773632217058257;0.006266610434282369;0.008082490545102562;0.009162901732154944;0.009946233503461289;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
BOSSARD HOLDING AG ;BOSSARD HOLDING AG - DIVIDENDS PER SHARE - GROSS;0.0004703366541223537;0.0;0.00015152182676031922;0.0002493349937598498;0.0004893924626476663;0.0005020837185486509;0.0002800070663341389;0.00040662032018849286;0.0004737849697664761;0.0002439433387758704;0.0009700127779179608;0.0008660455620178234;0.0008560973985372633;0.0009162901732154943;0.0008525343002966819;0.0008412251940215808;0.0008236060467658486;0.0009705159563221605;0.000742643742409562;0.00039514032717223954;0.0011947489696647806;0.001263984689427809;
BUCHER INDUSTRIES AG ;BUCHER INDUSTRIES AG - DIVIDENDS PER SHARE - GROSS;0.0010812336876375947;0.0;0.0004117440944573892;0.0006775407439126352;0.0008264770177403291;0.0009956334362154551;0.0008940200074525508;0.0014711299572666167;0.0014464262984729595;0.000706058867658091;0.0010528358660469909;0.001253322086856474;0.001616498109020512;0.0019852953753002377;0.0018471576506428108;0.0015422461890395648;0.0012478879496452253;0.001501988980022391;0.0013202555420614435;0.0015805613086889582;0.0017649700688229712;0.002354481284228272;
BURCKHARDT COMP ;BURCKHARDT COMP - DIVIDENDS PER SHARE - GROSS;;;;;;0.0;0.0;0.0008826779743599701;0.0019285683979639462;0.0021181766029742728;0.0017547264434116514;0.0015666526085705923;0.002263097352628717;0.002748870519646483;0.0028417810009889397;0.002804083980071936;0.0024957758992904507;0.0016175265938702674;0.0009901916565460825;0.0011854209815167186;0.0016292031404519735;0.0016109608786825018;0.0812022260236894
BURKHALTER ;BURKHALTER - DIVIDENDS PER SHARE - GROSS;;;;;;;;;0.0;0.0;0.0008243704831147939;0.0009813511940086192;0.001088226526992609;0.0013438922540493917;0.0014208905004944698;0.0014721440895377664;0.0013726767446097477;0.0011553761384787624;0.0006436245767549537;0.0007310096052686432;0.0006516812561807893;0.0009417925136913088;
BVZ HOLDING AG ;BVZ HOLDING AG - DIVIDENDS PER SHARE - GROSS;0.004204797674146201;0.00594590858314201;0.0032939527556591136;0.0054203259513010815;0.0047227258156590235;0.0037928892808207814;0.0030396680253386723;0.0025009209273532487;0.002892852596945919;0.0031772649044614094;0.0031585075981409726;0.0028199746954270665;0.003071346407138973;0.003054300577384981;0.0031259591010878336;0.0030844923780791295;0.0029949310791485407;0.003235053187740535;0.002310447198607526;0.0014817762268958983;0.0;0.0007435204055457702;
BYSTRONIC ;BYSTRONIC - DIVIDENDS PER SHARE - GROSS;0.006460371283634628;0.007105360756854703;0.0024601709643829;0.0032386447559023964;0.0042327430122844;0.004532502690580834;0.0038460740720608734;0.0049224008370141;0.004609278471133831;0.0025312210405542563;0.0033550369598030778;0.01625057417818104;0.0030907443844472196;0.0;0.0035522262512361746;0.002804083980071936;0.0027453534892194955;0.00369720364313204;0.002970574969638248;0.00829794687061703;0.016292031404519736;0.014870408110915402;
CALIDA HOLDING AG ;CALIDA HOLDING AG - DIVIDENDS PER SHARE - GROSS;0.0;0.0;0.0;0.00010163111158689529;0.00014758518173934448;0.00011852779002564942;8.940200074525508e-05;0.00011769039658132935;0.00012857122653092974;0.0;0.0;0.0002506644173712948;0.00025863969744328196;0.0002443440461907985;0.0002273424800791152;0.00011216335920287745;0.00019966207194323606;0.000184860182156602;0.00013202555420614435;0.0;0.00043445417078719295;0.00024784013518192337;
CARLO GAVAZZI AG ;CARLO GAVAZZI AG - DIVIDENDS PER SHARE - GROSS;0.024027415280835435;0.0037161928644637568;0.0;0.0;0.0011806814539147559;0.0023705558005129882;0.0;0.0020595819401732635;0.0032142806632732435;0.0017651471691452275;0.0017547264434116514;0.002506644173712948;0.0038795954616492293;0.007635751443462452;0.0034101372011867276;0.0033649007760863233;0.0029949310791485407;0.003466128415436287;0.001980383313092165;0.002370841963033437;0.003258406280903947;0.0029740816221830806;
CASSIOPEA ;CASSIOPEA - DIVIDENDS PER SHARE - GROSS;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;
